Category,Name,Status,Rarity Winter,Rarity Summer,Rarity Breeding,Rarity Passage,Rarity Vagrant,Rarity Feral,Rarity Escapee,Rarity Overall,Taxon
A,Red-crested Pochard,WP3,3,0,0,3,0,0,0,3,Netta rufina
A,Pochard,WP5-6; B2,5,0,2,5,0,0,0,5,Aythya ferina
A,Redhead,V1,0,0,0,0,1,0,0,1,Aythya americana
A,Ring-necked Duck,V1,0,0,0,0,1,0,0,1,Aythya collaris
A,Ferruginous Duck,WP2,2,0,0,2,0,0,0,2,Aythya nyroca
A,Tufted Duck,WP6; B4,6,0,4,6,0,0,0,6,Aythya fuligula
A,Scaup,WP4,4,0,0,4,0,0,0,4,Aythya marila
A,Lesser Scaup,V1,0,0,0,0,1,0,0,1,Aythya affinis
A,Eider,WP2,2,0,0,2,0,0,0,2,Somateria mollissima
A,Long-tailed Duck,W2,2,0,0,0,0,0,0,2,Clangula hyemalis
A,Common Scoter,P4; W3,3,0,0,4,0,0,0,4,Melanitta nigra
A,Velvet Scoter,W2,2,0,0,0,0,0,0,2,Melanitta fusca
A,Goldeneye,WP5; S3,5,3,0,5,0,0,0,5,Bucephala clangula
A,Smew,W4,4,0,0,0,0,0,0,4,Mergellus albellus
A,Red-breasted Merganser,WP3,3,0,0,3,0,0,0,3,Mergus serrator
A,Goosander,WP5,5,0,0,5,0,0,0,5,Mergus merganser
C,Ruddy Duck,FW4; B3,4,0,3,0,0,4,0,4,Oxyura jamaicensis
B,Red Grouse,extinct resident,0,0,0,0,0,0,0,0,Lagopus lagopus
B,Black Grouse,extinct resident,0,0,0,0,0,0,0,0,Lyrurus tetrix
C,Red-legged Partridge,FB5,0,0,5,0,0,5,0,5,Alectoris rufa
A,Grey Partridge,B4,0,0,4,0,0,0,0,4,Perdix perdix
A,Quail,SB3,0,3,3,0,0,0,0,3,Coturnix coturnix
C,Pheasant,FB6,0,0,6,0,0,6,0,6,Phasianus colchicus
A,Red-throated Diver,W2,2,0,0,0,0,0,0,2,Gavia stellata
A,Black-throated Diver,W2,2,0,0,0,0,0,0,2,Gavia arctica
A,Great Northern Diver,W2-3,2,0,0,0,0,0,0,2,Gavia immer
A,Little Grebe,B4-5,0,0,4,0,0,0,0,4,Tachybaptus ruficollis
A,Great Crested Grebe,WP5-6; B4,5,0,4,5,0,0,0,5,Podiceps cristatus
A,Red-necked Grebe,WP3,3,0,0,3,0,0,0,3,Podiceps grisegena
A,Slavonian Grebe,WP3,3,0,0,3,0,0,0,3,Podiceps auritus
A,Black-necked Grebe,SP4; W2,2,4,0,4,0,0,0,4,Podiceps nigricollis
A,Fulmar,V2,0,0,0,0,2,0,0,2,Fulmarus glacialis
A,Manx Shearwater,V2,0,0,0,0,2,0,0,2,Puffinus puffinus
A,Storm Petrel,V1,0,0,0,0,1,0,0,1,Hydrobates pelagicus
A,Leach's Petrel,V2,0,0,0,0,2,0,0,2,Oceanodroma leucorhoa
